"","x","y","var1.pred","var1.var","optional"
"1",0,0,13.8065805435181,9.57789560371542e-33,TRUE
"2",100,0,11.9606409072876,-3.5527136788005e-15,TRUE
"3",200,0,8.74210071563721,-3.5527136788005e-15,TRUE
"4",300,0,14.0479688644409,3.83115824148617e-32,TRUE
"5",400,0,15.7273330688477,7.105427357601e-15,TRUE
"6",500,0,20.8214912414551,-3.5527136788005e-15,TRUE
"7",600,0,21.7961750030518,3.5527136788005e-15,TRUE
"8",700,0,16.3759632110596,3.5527136788005e-15,TRUE
"9",800,0,19.0355777740479,3.5527136788005e-15,TRUE
"10",900,0,17.0096073150635,-3.5527136788005e-15,TRUE
"11",0,100,12.6039943695068,1.53246329659447e-31,TRUE
"12",100,100,12.2663888931274,0,TRUE
"13",200,100,6.39565849304199,4.69316884582056e-31,TRUE
"14",300,100,11.0589017868042,1.53246329659447e-31,TRUE
"15",400,100,23.6992168426514,-3.5527136788005e-15,TRUE
"16",500,100,14.7104921340942,3.83115824148617e-32,TRUE
"17",600,100,18.379243850708,3.44804241733755e-31,TRUE
"18",700,100,15.31605052948,3.83115824148617e-32,TRUE
"19",800,100,6.69496393203735,3.5527136788005e-15,TRUE
"20",900,100,14.3952169418335,8.62010604334388e-32,TRUE
"21",0,200,11.1530780792236,8.62010604334388e-32,TRUE
"22",100,200,21.221887588501,-3.5527136788005e-15,TRUE
"23",200,200,9.8958511352539,1.53246329659447e-31,TRUE
"24",300,200,17.370906829834,1.06581410364015e-14,TRUE
"25",400,200,17.4981269836426,-3.5527136788005e-15,TRUE
"26",500,200,12.6475954055786,3.5527136788005e-15,TRUE
"27",600,200,16.0770359039307,-3.5527136788005e-15,TRUE
"28",700,200,15.0667629241943,7.105427357601e-15,TRUE
"29",800,200,9.17708969116211,-7.105427357601e-15,TRUE
"30",900,200,11.2973756790161,-3.5527136788005e-15,TRUE
"31",0,300,21.2025890350342,-3.5527136788005e-15,TRUE
"32",100,300,18.7129287719727,-3.5527136788005e-15,TRUE
"33",200,300,16.8071136474609,-3.5527136788005e-15,TRUE
"34",300,300,16.5957317352295,7.105427357601e-15,TRUE
"35",400,300,21.0999546051025,8.62010604334388e-32,TRUE
"36",500,300,12.8882703781128,3.5527136788005e-15,TRUE
"37",600,300,12.6296615600586,-3.5527136788005e-15,TRUE
"38",700,300,18.3692264556885,-3.5527136788005e-15,TRUE
"39",800,300,15.5589065551758,3.83115824148617e-32,TRUE
"40",900,300,14.3339366912842,3.5527136788005e-15,TRUE
"41",0,400,12.1285762786865,3.44804241733755e-31,TRUE
"42",100,400,18.6114768981934,-7.105427357601e-15,TRUE
"43",200,400,18.6739845275879,3.83115824148617e-32,TRUE
"44",300,400,20.1115951538086,-1.06581410364015e-14,TRUE
"45",400,400,22.403112411499,-7.105427357601e-15,TRUE
"46",500,400,19.4333610534668,7.105427357601e-15,TRUE
"47",600,400,15.6511812210083,7.105427357601e-15,TRUE
"48",700,400,12.2950668334961,-3.5527136788005e-15,TRUE
"49",800,400,13.3278770446777,-3.5527136788005e-15,TRUE
"50",900,400,17.3535499572754,1.53246329659447e-31,TRUE
"51",0,500,12.402759552002,1.53246329659447e-31,TRUE
"52",100,500,18.042875289917,7.105427357601e-15,TRUE
"53",200,500,19.1565322875977,-3.5527136788005e-15,TRUE
"54",300,500,24.3681507110596,-3.5527136788005e-15,TRUE
"55",400,500,18.9034328460693,3.44804241733755e-31,TRUE
"56",500,500,20.1408081054688,7.105427357601e-15,TRUE
"57",600,500,12.8034133911133,7.105427357601e-15,TRUE
"58",700,500,17.4361629486084,-7.105427357601e-15,TRUE
"59",800,500,16.6383895874023,3.5527136788005e-15,TRUE
"60",900,500,12.7895965576172,9.57789560371542e-33,TRUE
"61",0,600,10.68577003479,7.105427357601e-15,TRUE
"62",100,600,13.3436622619629,7.105427357601e-15,TRUE
"63",200,600,19.0410766601562,3.5527136788005e-15,TRUE
"64",300,600,16.8594913482666,-3.5527136788005e-15,TRUE
"65",400,600,17.6929016113281,-1.06581410364015e-14,TRUE
"66",500,600,20.0267505645752,2.1316282072803e-14,TRUE
"67",600,600,13.611967086792,1.77635683940025e-14,TRUE
"68",700,600,11.5113897323608,1.77635683940025e-14,TRUE
"69",800,600,20.576000213623,-1.06581410364015e-14,TRUE
"70",900,600,15.167688369751,-7.105427357601e-15,TRUE
"71",0,700,7.80487823486328,-3.5527136788005e-15,TRUE
"72",100,700,16.5621700286865,3.83115824148617e-32,TRUE
"73",200,700,16.8998508453369,-3.5527136788005e-15,TRUE
"74",300,700,20.5072631835938,3.83115824148617e-32,TRUE
"75",400,700,20.5778255462646,3.44804241733755e-31,TRUE
"76",500,700,19.8057880401611,3.83115824148617e-32,TRUE
"77",600,700,18.4602737426758,-3.5527136788005e-15,TRUE
"78",700,700,21.7924423217773,-7.105427357601e-15,TRUE
"79",800,700,15.4648332595825,-3.5527136788005e-15,TRUE
"80",900,700,14.8008136749268,3.83115824148617e-32,TRUE
"81",0,800,15.5068655014038,3.5527136788005e-15,TRUE
"82",100,800,16.5653419494629,2.1316282072803e-14,TRUE
"83",200,800,17.9773387908936,3.5527136788005e-15,TRUE
"84",300,800,19.6816253662109,-3.5527136788005e-15,TRUE
"85",400,800,17.3640613555908,3.83115824148617e-32,TRUE
"86",500,800,12.5918884277344,3.83115824148617e-32,TRUE
"87",600,800,11.8379135131836,-3.5527136788005e-15,TRUE
"88",700,800,16.6583194732666,1.06581410364015e-14,TRUE
"89",800,800,20.2723541259766,-3.5527136788005e-15,TRUE
"90",900,800,17.1248054504395,0,TRUE
"91",0,900,17.3033618927002,-7.105427357601e-15,TRUE
"92",100,900,14.960620880127,3.5527136788005e-15,TRUE
"93",200,900,13.1066846847534,3.44804241733755e-31,TRUE
"94",300,900,16.0686378479004,8.62010604334388e-32,TRUE
"95",400,900,16.2463893890381,1.06581410364015e-14,TRUE
"96",500,900,20.9695529937744,-2.48689957516035e-14,TRUE
